Formation Energy,E Above Hull,Band Gap,Nsites,Density,Volume,Crystal System
-2.778,0.085,3.1689999999999996,22,2.92,251.377,monoclinic
-2.605,0.08900000000000001,0.0,30,2.898,360.853,monoclinic
-2.56,0.062,2.727,28,2.889,356.05699999999996,monoclinic
-2.5980000000000003,0.023,2.9589999999999996,56,2.8810000000000002,714.127,orthorhombic
-2.613,0.013999999999999999,2.924,32,3.07,350.111,orthorhombic
-2.6460000000000004,0.07200000000000001,2.5980000000000003,41,2.546,583.4019999999999,triclinic
-2.374,0.062,1.265,14,2.98,176.01,orthorhombic
-2.7260000000000004,0.08,2.88,66,3.017,732.676,orthorhombic
-2.782,0.078,1.4969999999999999,20,3.1039999999999996,228.983,monoclinic
-2.144,0.06,1.955,31,3.2319999999999998,371.73900000000003,triclinic
-2.1319999999999997,0.106,2.1390000000000002,37,2.668,384.899,triclinic
-2.81,0.011000000000000001,3.023,10,2.523,141.451,orthorhombic
-2.8169999999999997,0.05,2.826,54,3.088,651.656,triclinic
-2.5610000000000004,0.063,1.2590000000000001,30,2.943,357.38300000000004,monoclinic
-2.603,0.023,3.448,32,3.028,354.961,monoclinic
-2.775,0.012,3.653,28,2.761,301.775,monoclinic
-2.818,0.045,3.397,22,2.702,271.58099999999996,monoclinic
-2.495,0.042,2.6839999999999997,32,3.13,349.97,monoclinic
-2.532,0.005,2.72,16,3.2489999999999997,168.54,orthorhombic
-2.696,0.07200000000000001,3.017,64,2.611,899.949,monoclinic
-2.66,0.044000000000000004,2.785,32,2.977,358.98400000000004,monoclinic
-2.455,0.07,2.344,26,3.213,309.993,orthorhombic
-2.927,0.091,3.508,31,2.7760000000000002,391.36699999999996,triclinic
-2.577,0.045,3.01,14,2.366,217.361,monoclinic
-2.985,0.009000000000000001,3.362,32,2.43,457.962,monoclinic
-2.721,0.057999999999999996,0.9209999999999999,78,2.89,840.8560000000001,monoclinic
-2.968,0.055,1.1540000000000001,100,2.76,1165.318,orthorhombic
-2.5989999999999998,0.023,0.401,14,2.87,179.222,monoclinic
-2.748,0.057999999999999996,2.917,66,2.7230000000000003,811.7669999999999,orthorhombic
-2.565,0.059000000000000004,1.14,15,3.034,173.298,triclinic
-2.4859999999999998,0.083,2.254,20,3.575,171.61900000000003,triclinic
